"","dist","sites","pi","pi_lower","pi_upper","theta_W","theta_W_lower","theta_W_upper","tajima","tajima_lower","tajima_upper","xsi","xsi_lower","xsi_upper","fwh","fwh_lower","fwh_upper","B","Bsmooth","map","lab"
"62",2.25904,26780847,0.00876339569034816,0.00873426887316145,0.00878805792885166,0.00893758259973516,0.00891813040267632,0.00895406832815665,-0.0550195558802251,-0.0608417935080347,-0.0492188584907685,0.750827431641478,0.749944108561693,0.751634510135783,0.00871988485057311,0.00867397129394671,0.00876455576386987,0.876339569034816,0.878771351034017,"Cox - Pedigree-based","CNEs"
"84",2.456706,26263930,0.00877518373787059,0.00875087927115606,0.00879876989795901,0.00894662223344228,0.00892691335353803,0.00896473180570786,-0.0538151437350303,-0.0603559987185919,-0.0465901984626297,0.751438377678413,0.75046777332254,0.752337642822598,0.00876623570106707,0.00872007303483971,0.00880616776655892,0.877518373787059,0.879475968184851,"Cox - Pedigree-based","CNEs"
"22",2.6202254,26441483,0.00878978637237463,0.00876004047894744,0.00881594920425226,0.00894809981203568,0.00892904927907456,0.00896477517405907,-0.0483991980366955,-0.0559838782099699,-0.0416877580382513,0.751664521525036,0.750613541086247,0.752606658329839,0.00877943257353822,0.00874636611805184,0.00882772847853501,0.878978637237463,0.879962044153946,"Cox - Pedigree-based","CNEs"
"81",2.9335982,26043358,0.00880601420170791,0.00878508694082236,0.00883845585018019,0.00895666232494634,0.00894169283135206,0.00898052647625244,-0.0451836745439118,-0.051002723052741,-0.0395777291493703,0.750282547013994,0.749420152880304,0.751191315854535,0.00877195508085448,0.00873753526946005,0.00881798270707798,0.880601420170791,0.88106161562919,"Cox - Pedigree-based","CNEs"
"45",3.075914,25770563,0.00880418284115208,0.00877447237585816,0.00883206748538164,0.00895581227962419,0.00893418812905331,0.00898212968361847,-0.0455932670615379,-0.0519983078780476,-0.0373628333854286,0.750778981182037,0.74975368493581,0.751471549924423,0.00878503161193044,0.00873993548043053,0.00883412250748306,0.880418284115208,0.881798427311698,"Cox - Pedigree-based","CNEs"
"12",3.338364,25523824,0.00881773019079695,0.00879790535306437,0.00884860103141903,0.00897487829879058,0.00895264383494071,0.00899926734801188,-0.0477262985865648,-0.0540667121678381,-0.0418212238698727,0.751325041878747,0.750308198204422,0.75239924508042,0.00877861110850628,0.00873366234543959,0.00882797090163898,0.881773019079695,0.88332535350368,"Cox - Pedigree-based","CNEs"
"98",3.600814,25347373,0.0088643401235388,0.00883787774696988,0.00888776740052241,0.00899470746304991,0.00897155713643589,0.00901277194923658,-0.0366141393545492,-0.0421174002399563,-0.0310509570380573,0.75183000498766,0.751026583149792,0.752714120599391,0.00888559734391732,0.00884025682282687,0.0089194617593475,0.88643401235388,0.884779884709552,"Cox - Pedigree-based","CNEs"
"82",3.9886587,24938342,0.0088605630246152,0.0088266068307762,0.00889203026499229,0.00900314690614391,0.00897846701827823,0.00902957103553472,-0.0415635281671024,-0.047719027160914,-0.0347484391130118,0.751902364307773,0.750874398389564,0.752858140370098,0.00888857856889195,0.00884445366867923,0.00893461569598693,0.88605630246152,0.886810522148282,"Cox - Pedigree-based","CNEs"
"54",4.125714,24580495,0.00888011741149448,0.00885685567173096,0.00890674090339654,0.00901708973113732,0.0090001877067407,0.00903680176086869,-0.0391803992663873,-0.044651953265385,-0.0312386070514465,0.751462692427615,0.750706004261403,0.752301077013416,0.00890113556978193,0.00886061187417294,0.00894399325995311,0.888011741149448,0.88749757235214,"Cox - Pedigree-based","CNEs"
"87",4.3674487,24245309,0.00889258112333636,0.00886615707339292,0.00891410781967428,0.00902069991447143,0.00899685455733041,0.00903744024306078,-0.0355418672121008,-0.0428250875726974,-0.0299379434564191,0.750362700606921,0.749403130320538,0.751343713114326,0.00886495452100252,0.00881672149938388,0.0089130697424641,0.889258112333636,0.888673801500939,"Cox - Pedigree-based","CNEs"
