"","dist","sites","pi","pi_lower","pi_upper","theta_W","theta_W_lower","theta_W_upper","tajima","tajima_lower","tajima_upper","xsi","xsi_lower","xsi_upper","fwh","fwh_lower","fwh_upper","B","Bsmooth","map","lab"
"3",0.884671997202163,30493405,0.00864065806079333,0.00861363226960711,0.00866704635470314,0.00884213330616097,0.00882537639279638,0.00885780349590775,-0.0671654431088176,-0.0738063317186352,-0.061058757501952,0.751447840366225,0.750615664976657,0.752333777919401,0.00858810310368583,0.00855599838019946,0.00862515171093198,0.864065806079333,0.864282283473012,"castaneus - LD-based","CNEs"
"71",0.996444364655318,30046634,0.0086726273972815,0.00865014692079498,0.00869682254019124,0.00887308810320478,0.00885521416079143,0.00889085018039414,-0.066451291599726,-0.0730809428386729,-0.0605988143031844,0.751854271578066,0.750820733857028,0.752794579776541,0.00863929309189909,0.00859449201122324,0.00868053654187467,0.86726273972815,0.866206558836642,"castaneus - LD-based","CNEs"
"81",1.11484550472494,29379846,0.00867670637697887,0.00865326148114113,0.00869998660282803,0.00885542636385919,0.00883824785683011,0.00887033564812341,-0.0575717987634689,-0.0638461453837121,-0.0505495537313917,0.751371955518434,0.750607495128186,0.752106428429417,0.00866404385801458,0.00862614046564277,0.00870289467259717,0.867670637697887,0.868126785510231,"castaneus - LD-based","CNEs"
"64",1.24026854343496,29021204,0.00870908451514785,0.00868104948437908,0.00873117490303411,0.00889079599246228,0.00887193469530537,0.00890762251384906,-0.0585156775250617,-0.0647317452800641,-0.0526768830589235,0.75060816209633,0.749850619824742,0.75139065296683,0.00864565053038813,0.00860479800577263,0.00868120775026113,0.870908451514785,0.869957971461348,"castaneus - LD-based","CNEs"
"17",1.37312992154334,28393016,0.00869784959995594,0.00866619103196195,0.00871891965927388,0.00887414329017589,0.00885554871038741,0.00889049282724916,-0.0564075972503169,-0.0630264866574159,-0.0506906490686314,0.750788867884671,0.749984610712132,0.751835303870073,0.00866531363105028,0.00862225899365301,0.00869838947941708,0.869784959995594,0.871641714821041,"castaneus - LD-based","CNEs"
"48",1.51387077724587,27885879,0.00873414053480075,0.00871048589598728,0.00876307090413266,0.00890584249636738,0.00888283852116445,0.00892337775173964,-0.0542474364804281,-0.0596098447661496,-0.0471678075660591,0.75200951630589,0.751212220803985,0.752997884428354,0.00872744982490666,0.0086772588954616,0.00876631852324376,0.873414053480075,0.87331023214375,"castaneus - LD-based","CNEs"
"34",1.66295841088249,27687104,0.00876755875299952,0.00874537314043031,0.00878939467142154,0.00893412270473532,0.00891563481475497,0.00895406270709901,-0.0519036787094667,-0.0578582294103266,-0.0448991552056416,0.750585478951166,0.749577638738713,0.751467210023128,0.00874641837232384,0.00870805034598412,0.00877908523359275,0.876755875299952,0.874702455149123,"castaneus - LD-based","CNEs"
"55",1.82088783650959,27418011,0.00875336982701195,0.00872822073331911,0.00877280002709604,0.00892151293270245,0.00890086057282686,0.00894140607643532,-0.0526529251594439,-0.0591552058783804,-0.0447838412667438,0.750552130990405,0.749659487365517,0.75137339941306,0.00868620777809751,0.00863787213699567,0.00872254273882393,0.875336982701195,0.875695120065263,"castaneus - LD-based","CNEs"
"19",1.98818342548983,26994435,0.00874579958303802,0.00871391301178739,0.00877168067334107,0.00892690930067936,0.00890638999042903,0.0089435025265589,-0.0579626686645925,-0.0652348879688023,-0.0507608706900646,0.751076376217848,0.750367216314367,0.751803856452741,0.00872397497892451,0.0086694945914399,0.00876384679789266,0.874579958303802,0.876795126449166,"castaneus - LD-based","CNEs"
"20",2.16540064755664,26780847,0.00876339569034816,0.00873330094808326,0.00879071338531371,0.00893758259973516,0.00891726248543766,0.00895907597636617,-0.0550195558802251,-0.0619265743947823,-0.0498291752925009,0.750827431641478,0.749973500599992,0.751728487066028,0.00871988485057311,0.00867475597219904,0.00877248760023656,0.876339569034816,0.877845289706771,"castaneus - LD-based","CNEs"
